filename,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class_id,class_name,is_test,filename_cropped,bbox_h,bbox_w
00001.jpg,39,116,569,375,14,Audi TTS Coupe 2012,0,cropped_00001.jpg,260,531
00002.jpg,36,116,868,587,3,Acura TL Sedan 2012,0,cropped_00002.jpg,472,833
00003.jpg,85,109,601,381,91,Dodge Dakota Club Cab 2007,0,cropped_00003.jpg,273,517
00004.jpg,621,393,1484,1096,134,Hyundai Sonata Hybrid Sedan 2012,0,cropped_00004.jpg,704,864
00005.jpg,14,36,133,99,106,Ford F-450 Super Duty Crew Cab 2012,0,cropped_00005.jpg,64,120
00006.jpg,259,289,515,416,123,Geo Metro Convertible 1993,0,cropped_00006.jpg,128,257
00007.jpg,88,80,541,397,89,Dodge Journey SUV 2012,0,cropped_00007.jpg,318,454
00008.jpg,73,79,591,410,96,Dodge Charger Sedan 2012,0,cropped_00008.jpg,332,519
00009.jpg,20,126,1269,771,167,Mitsubishi Lancer Sedan 2012,0,cropped_00009.jpg,646,1250
00010.jpg,21,110,623,367,58,Chevrolet Traverse SUV 2012,0,cropped_00010.jpg,258,603
00011.jpg,51,93,601,393,49,Buick Verano Sedan 2012,0,cropped_00011.jpg,301,551
00012.jpg,6,62,499,286,186,Toyota Sequoia SUV 2012,0,cropped_00012.jpg,225,494
00013.jpg,30,36,418,307,135,Hyundai Elantra Sedan 2007,0,cropped_00013.jpg,272,389
00014.jpg,31,246,778,540,85,Dodge Caravan Minivan 1997,0,cropped_00014.jpg,295,748
00015.jpg,32,77,589,379,193,Volvo C30 Hatchback 2012,0,cropped_00015.jpg,303,558
00016.jpg,27,49,611,396,172,Plymouth Neon Coupe 1999,0,cropped_00016.jpg,348,585
00017.jpg,39,52,233,150,14,Audi TTS Coupe 2012,0,cropped_00017.jpg,99,195
00018.jpg,3,8,190,147,73,Chevrolet Malibu Sedan 2007,0,cropped_00018.jpg,140,188
00019.jpg,247,287,1366,761,192,Volkswagen Beetle Hatchback 2012,0,cropped_00019.jpg,475,1120
00020.jpg,17,281,961,596,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,0,cropped_00020.jpg,316,945
00021.jpg,17,156,695,375,79,Chrysler 300 SRT-8 2010,0,cropped_00021.jpg,220,679
00022.jpg,212,538,1893,1131,36,BMW M6 Convertible 2010,0,cropped_00022.jpg,594,1682
00023.jpg,11,28,476,234,120,GMC Yukon Hybrid SUV 2012,0,cropped_00023.jpg,207,466
00024.jpg,53,126,973,621,170,Nissan Juke Hatchback 2012,0,cropped_00024.jpg,496,921
00025.jpg,34,87,567,343,194,Volvo 240 Sedan 1993,0,cropped_00025.jpg,257,534
00026.jpg,30,174,598,379,134,Hyundai Sonata Hybrid Sedan 2012,0,cropped_00026.jpg,206,569
00027.jpg,80,107,606,336,184,Suzuki SX4 Sedan 2012,0,cropped_00027.jpg,230,527
00028.jpg,45,115,585,382,86,Dodge Ram Pickup 3500 Crew Cab 2010,0,cropped_00028.jpg,268,541
00029.jpg,28,139,1564,1126,180,Spyker C8 Coupe 2009,0,cropped_00029.jpg,988,1537
00030.jpg,82,109,874,521,194,Volvo 240 Sedan 1993,0,cropped_00030.jpg,413,793
00031.jpg,55,318,446,564,154,Land Rover Range Rover SUV 2012,0,cropped_00031.jpg,247,392
00032.jpg,12,31,471,350,139,Hyundai Elantra Touring Hatchback 2012,0,cropped_00032.jpg,320,460
00033.jpg,34,197,1011,656,66,Chevrolet Cobalt SS 2010,0,cropped_00033.jpg,460,978
00034.jpg,37,63,614,397,133,Hyundai Veracruz SUV 2012,0,cropped_00034.jpg,335,578
00035.jpg,223,87,1111,670,154,Land Rover Range Rover SUV 2012,0,cropped_00035.jpg,584,889
00036.jpg,138,41,521,223,104,Ferrari 458 Italia Coupe 2012,0,cropped_00036.jpg,183,384
00037.jpg,31,87,616,344,38,BMW Z4 Convertible 2012,0,cropped_00037.jpg,258,586
00038.jpg,16,89,459,326,97,Dodge Charger SRT-8 2009,0,cropped_00038.jpg,238,444
00039.jpg,53,113,614,350,105,Fisker Karma Sedan 2012,0,cropped_00039.jpg,238,562
00040.jpg,214,110,660,403,142,Infiniti QX56 SUV 2011,0,cropped_00040.jpg,294,447
00041.jpg,61,55,566,408,13,Audi A5 Coupe 2012,0,cropped_00041.jpg,354,506
00042.jpg,28,61,622,371,191,Volkswagen Golf Hatchback 1991,0,cropped_00042.jpg,311,595
00043.jpg,22,39,588,362,119,GMC Savana Van 2012,0,cropped_00043.jpg,324,567
00044.jpg,220,193,537,364,38,BMW Z4 Convertible 2012,0,cropped_00044.jpg,172,318
00045.jpg,12,108,489,297,186,Toyota Sequoia SUV 2012,0,cropped_00045.jpg,190,478
00046.jpg,28,80,759,466,25,Audi TT RS Coupe 2012,0,cropped_00046.jpg,387,732
00047.jpg,84,248,1102,899,194,Volvo 240 Sedan 1993,0,cropped_00047.jpg,652,1019
00048.jpg,142,69,753,451,177,Rolls-Royce Phantom Sedan 2012,0,cropped_00048.jpg,383,612
00049.jpg,166,543,887,903,173,Porsche Panamera Sedan 2012,0,cropped_00049.jpg,361,722
00050.jpg,20,96,564,341,42,Bentley Continental GT Coupe 2012,0,cropped_00050.jpg,246,545
00051.jpg,41,181,607,465,91,Dodge Dakota Club Cab 2007,0,cropped_00051.jpg,285,567
00052.jpg,39,29,774,395,148,Jeep Grand Cherokee SUV 2012,0,cropped_00052.jpg,367,736
00053.jpg,161,191,425,307,15,Audi R8 Coupe 2012,0,cropped_00053.jpg,117,265
00054.jpg,58,562,1528,1081,97,Dodge Charger SRT-8 2009,0,cropped_00054.jpg,520,1471
00055.jpg,80,120,582,391,42,Bentley Continental GT Coupe 2012,0,cropped_00055.jpg,272,503
00056.jpg,32,48,472,267,53,Cadillac Escalade EXT Crew Cab 2007,0,cropped_00056.jpg,220,441
00057.jpg,260,138,972,439,44,Bentley Continental Flying Spur Sedan 2007,0,cropped_00057.jpg,302,713
00058.jpg,11,35,256,173,65,Chevrolet Avalanche Crew Cab 2012,0,cropped_00058.jpg,139,246
00059.jpg,68,91,607,354,90,Dodge Dakota Crew Cab 2010,0,cropped_00059.jpg,264,540
00060.jpg,129,120,345,269,124,HUMMER H3T Crew Cab 2010,0,cropped_00060.jpg,150,217
00061.jpg,11,104,1011,742,114,Ford F-150 Regular Cab 2007,0,cropped_00061.jpg,639,1001
00062.jpg,19,21,425,265,190,Volkswagen Golf Hatchback 2012,0,cropped_00062.jpg,245,407
00063.jpg,175,330,928,647,101,Ferrari FF Coupe 2012,0,cropped_00063.jpg,318,754
00064.jpg,97,39,925,700,187,Toyota Camry Sedan 2012,0,cropped_00064.jpg,662,829
00065.jpg,63,175,417,320,8,Aston Martin V8 Vantage Convertible 2012,0,cropped_00065.jpg,146,355
00066.jpg,30,39,221,125,17,Audi 100 Sedan 1994,0,cropped_00066.jpg,87,192
00067.jpg,129,89,594,432,111,Ford Ranger SuperCab 2011,0,cropped_00067.jpg,344,466
00068.jpg,32,43,598,350,122,GMC Canyon Extended Cab 2012,0,cropped_00068.jpg,308,567
00069.jpg,142,124,675,445,5,Acura TSX Sedan 2012,0,cropped_00069.jpg,322,534
00070.jpg,220,313,1054,976,29,BMW 3 Series Sedan 2012,0,cropped_00070.jpg,664,835
00071.jpg,8,12,639,299,126,Honda Odyssey Minivan 2012,0,cropped_00071.jpg,288,632
00072.jpg,92,271,1178,749,94,Dodge Durango SUV 2012,0,cropped_00072.jpg,479,1087
00073.jpg,15,12,314,230,106,Ford F-450 Super Duty Crew Cab 2012,0,cropped_00073.jpg,219,300
00074.jpg,14,12,309,223,106,Ford F-450 Super Duty Crew Cab 2012,0,cropped_00074.jpg,212,296
00075.jpg,45,74,522,253,188,Toyota Corolla Sedan 2012,0,cropped_00075.jpg,180,478
00076.jpg,12,27,284,166,59,Chevrolet Camaro Convertible 2012,0,cropped_00076.jpg,140,273
00077.jpg,25,25,3502,2017,110,Ford Edge SUV 2012,0,cropped_00077.jpg,1993,3478
00078.jpg,36,88,611,417,43,Bentley Continental GT Coupe 2007,0,cropped_00078.jpg,330,576
00079.jpg,165,126,749,425,133,Hyundai Veracruz SUV 2012,0,cropped_00079.jpg,300,585
